# Series: SA headline CPI YoY %
# Source: OECD via FRED CPALTT01ZAM659N (transformation GY: growth rate same period prev year)
# 2004-01 to 2024-12
date,cpi_yoy
2004-01-01,-1.9993
2004-02-01,-1.5865
2004-03-01,-1.6986
2004-04-01,-1.8158
2004-05-01,-1.8037
2004-06-01,-1.5401
2004-07-01,-0.8411
2004-08-01,-1.2527
2004-09-01,-0.5511
2004-10-01,0.5060
2004-11-01,2.2594
2004-12-01,2.1989
2005-01-01,2.0649
2005-02-01,1.7981
2005-03-01,1.9378
2005-04-01,2.1329
2005-05-01,1.8738
2005-06-01,1.5765
2005-07-01,2.1266
2005-08-01,2.5003
2005-09-01,2.5613
2005-10-01,2.3944
2005-11-01,1.7700
2005-12-01,2.0171
2006-01-01,2.0963
2006-02-01,2.1805
2006-03-01,1.8646
2006-04-01,1.7986
2006-05-01,2.4322
2006-06-01,3.3952
2006-07-01,3.3462
2006-08-01,3.8813
2006-09-01,4.0581
2006-10-01,4.4850
2006-11-01,4.5100
2006-12-01,4.8173
2007-01-01,5.1809
2007-02-01,4.9118
2007-03-01,5.3251
2007-04-01,5.9647
2007-05-01,6.0484
2007-06-01,6.0279
2007-07-01,6.2078
2007-08-01,6.1538
2007-09-01,6.4844
2007-10-01,6.8977
2007-11-01,7.2306
2007-12-01,7.5683
2008-01-01,8.2737
2008-02-01,8.6684
2008-03-01,9.4658
2008-04-01,9.3132
2008-05-01,9.5767
2008-06-01,10.3156
2008-07-01,11.1240
2008-08-01,11.1678
2008-09-01,11.0360
2008-10-01,10.5128
2008-11-01,10.1697
2008-12-01,9.1544
2009-01-01,8.3732
2009-02-01,9.0692
2009-03-01,9.1765
2009-04-01,8.8785
2009-05-01,8.3527
2009-06-01,7.3227
2009-07-01,6.5315
2009-08-01,6.2640
2009-09-01,6.0134
2009-10-01,5.5432
2009-11-01,5.5432
2009-12-01,6.2222
2010-01-01,5.7395
2010-02-01,5.4705
2010-03-01,4.7414
2010-04-01,4.2918
2010-05-01,4.2827
2010-06-01,3.8380
2010-07-01,3.8055
2010-08-01,3.3684
2010-09-01,3.1513
2010-10-01,3.3613
2010-11-01,3.5714
2010-12-01,3.3473
2011-01-01,3.7578
2011-02-01,3.5270
2011-03-01,3.9095
2011-04-01,4.3210
2011-05-01,4.5175
2011-06-01,5.1335
2011-07-01,5.0916
2011-08-01,5.0916
2011-09-01,5.9063
2011-10-01,6.3008
2011-11-01,6.0852
2011-12-01,6.2753
2012-01-01,6.0362
2012-02-01,6.2124
2012-03-01,6.1386
2012-04-01,6.3116
2012-05-01,5.8939
2012-06-01,5.6641
2012-07-01,4.8450
2012-08-01,5.4264
2012-09-01,5.3846
2012-10-01,5.5449
2012-11-01,5.7361
2012-12-01,5.7143
2013-01-01,5.6926
2013-02-01,6.0377
2013-03-01,6.1567
2013-04-01,5.7514
2013-05-01,5.5659
2013-06-01,5.3604
2013-07-01,6.4695
2013-08-01,6.2500
2013-09-01,6.0219
2013-10-01,5.4348
2013-11-01,5.4250
2013-12-01,5.2252
