# Series: ZAR Real Effective Exchange Rate, CPI-based, Index 2015=100
# Source: OECD via FRED CCRETT01ZAM661N
# Convention: increase = real appreciation. Loader will compute YoY delta for delta_zar_reer.
date,zar_reer
2004-01-01,129.6507
2004-02-01,132.5417
2004-03-01,137.8613
2004-04-01,140.4992
2004-05-01,136.6408
2004-06-01,142.9625
2004-07-01,149.3557
2004-08-01,141.7973
2004-09-01,139.5964
2004-10-01,141.1194
2004-11-01,145.7580
2004-12-01,150.3793
2005-01-01,146.4465
2005-02-01,144.8426
2005-03-01,144.6080
2005-04-01,142.9276
2005-05-01,139.4238
2005-06-01,133.4629
2005-07-01,136.3778
2005-08-01,139.3867
2005-09-01,141.4663
2005-10-01,138.3579
2005-11-01,138.6141
2005-12-01,144.4319
2006-01-01,148.7225
2006-02-01,148.8154
2006-03-01,145.3810
2006-04-01,147.6362
2006-05-01,138.4841
2006-06-01,128.1056
2006-07-01,126.3453
2006-08-01,128.4651
2006-09-01,121.1941
2006-10-01,118.4014
2006-11-01,122.9624
2006-12-01,124.9603
2007-01-01,124.1356
2007-02-01,123.3245
2007-03-01,119.8160
2007-04-01,122.6203
2007-05-01,124.4746
2007-06-01,122.7051
2007-07-01,125.0338
2007-08-01,121.6449
2007-09-01,122.2319
2007-10-01,127.1363
2007-11-01,125.9837
2007-12-01,124.8583
2008-01-01,122.3336
2008-02-01,110.8873
2008-03-01,104.2689
2008-04-01,106.4971
2008-05-01,109.8771
2008-06-01,106.8137
2008-07-01,111.0706
2008-08-01,114.9654
2008-09-01,112.9356
2008-10-01,98.4631
2008-11-01,98.2742
2008-12-01,98.0300
2009-01-01,99.9229
2009-02-01,101.3802
2009-03-01,102.9470
2009-04-01,113.1609
2009-05-01,118.5895
2009-06-01,122.0141
2009-07-01,123.9483
2009-08-01,122.8786
2009-09-01,128.5703
2009-10-01,127.4252
2009-11-01,126.1005
2009-12-01,127.7439
2010-01-01,129.0336
2010-02-01,127.8941
2010-03-01,133.2961
2010-04-01,133.8099
2010-05-01,133.0840
2010-06-01,134.6539
2010-07-01,134.2891
2010-08-01,137.2455
2010-09-01,138.7211
2010-10-01,138.0589
2010-11-01,137.7401
2010-12-01,142.6777
2011-01-01,139.1953
2011-02-01,132.6667
2011-03-01,137.4778
2011-04-01,138.9819
2011-05-01,136.5562
2011-06-01,138.4342
2011-07-01,139.1030
2011-08-01,132.4568
2011-09-01,128.0455
2011-10-01,123.0892
2011-11-01,120.9315
2011-12-01,122.1826
2012-01-01,125.1536
2012-02-01,129.2711
2012-03-01,131.5247
2012-04-01,128.3818
2012-05-01,125.3318
2012-06-01,124.0666
2012-07-01,126.4123
2012-08-01,125.1519
2012-09-01,123.9344
2012-10-01,118.3035
2012-11-01,117.2422
2012-12-01,119.2597
2013-01-01,116.5743
2013-02-01,116.0965
2013-03-01,114.7812
2013-04-01,115.8795
2013-05-01,112.7336
2013-06-01,105.7874
2013-07-01,108.4334
2013-08-01,106.6856
2013-09-01,107.7729
2013-10-01,107.1854
2013-11-01,104.9297
2013-12-01,103.1801
2014-01-01,99.4380
2014-02-01,99.4185
2014-03-01,101.9611
2014-04-01,104.2901
2014-05-01,105.4976
2014-06-01,103.4466
2014-07-01,104.3214
2014-08-01,105.3021
2014-09-01,103.6060
2014-10-01,104.0968
2014-11-01,105.2557
2014-12-01,102.5678
2015-01-01,104.3710
2015-02-01,105.2990
2015-03-01,104.0584
2015-04-01,105.2700
2015-05-01,104.4629
2015-06-01,102.2017
2015-07-01,102.7878
2015-08-01,99.9840
2015-09-01,94.7474
2015-10-01,95.7716
2015-11-01,93.1106
2015-12-01,87.9356
2016-01-01,82.6673
2016-02-01,85.3968
2016-03-01,87.2137
2016-04-01,91.4278
2016-05-01,87.3502
2016-06-01,89.8201
2016-07-01,95.4060
2016-08-01,98.8656
2016-09-01,96.9536
2016-10-01,99.1810
2016-11-01,101.0776
2016-12-01,103.5946
2017-01-01,105.7133
2017-02-01,108.7642
2017-03-01,111.4426
2017-04-01,106.3740
2017-05-01,106.9390
2017-06-01,109.2275
2017-07-01,105.9188
2017-08-01,103.6878
2017-09-01,103.5521
2017-10-01,100.8078
2017-11-01,98.2331
2017-12-01,105.2768
2018-01-01,110.5382
2018-02-01,113.3017
2018-03-01,113.6992
2018-04-01,112.2937
2018-05-01,111.0026
2018-06-01,105.9788
2018-07-01,107.4192
2018-08-01,102.8942
2018-09-01,98.6419
2018-10-01,101.4524
2018-11-01,105.1124
2018-12-01,103.4973
2019-01-01,105.6804
2019-02-01,106.0475
2019-03-01,102.7606
2019-04-01,104.9882
2019-05-01,104.1455
2019-06-01,102.7599
2019-07-01,106.8231
2019-08-01,100.3922
2019-09-01,103.2228
2019-10-01,101.9900
2019-11-01,102.5995
2019-12-01,104.9992
2020-01-01,104.4911
2020-02-01,102.0717
2020-03-01,93.6045
2020-04-01,85.1296
2020-05-01,86.3364
2020-06-01,90.1152
2020-07-01,92.2600
2020-08-01,88.0163
2020-09-01,90.4985
2020-10-01,92.3100
2020-11-01,96.7130
2020-12-01,99.2909
2021-01-01,97.1237
2021-02-01,99.7451
2021-03-01,100.0725
2021-04-01,104.5907
2021-05-01,105.9596
2021-06-01,107.3036
2021-07-01,104.8348
2021-08-01,103.5381
2021-09-01,104.7889
2021-10-01,103.1300
2021-11-01,99.0713
2021-12-01,97.9541
2022-01-01,99.6757
2022-02-01,101.0491
2022-03-01,104.3644
2022-04-01,104.7656
2022-05-01,101.6737
2022-06-01,103.0701
2022-07-01,100.0143
2022-08-01,101.1306
2022-09-01,97.7946
2022-10-01,96.1436
2022-11-01,98.2738
2022-12-01,97.2957
2023-01-01,95.8197
2023-02-01,92.4259
2023-03-01,91.7201
2023-04-01,91.3513
2023-05-01,87.9948
2023-06-01,90.5958
2023-07-01,93.0782
2023-08-01,91.0647
2023-09-01,91.7106
2023-10-01,92.7246
2023-11-01,93.8195
2023-12-01,92.5803
2024-01-01,91.8640
2024-02-01,91.5125
2024-03-01,92.9214
2024-04-01,93.5600
2024-05-01,95.7018
2024-06-01,96.0457
2024-07-01,96.7548
2024-08-01,96.4398
2024-09-01,97.9402
2024-10-01,98.7847
2024-11-01,98.6359
2024-12-01,97.8633
